mark,bin_center,average_cpm
DNase,750,0.09980086038920326
DNase,760,0.0990411328311363
DNase,770,0.09898113785310707
DNase,780,0.0976147463904583
DNase,790,0.095991505210295
DNase,800,0.09645894714375394
DNase,810,0.09564366478342759
DNase,820,0.09448610156936584
DNase,830,0.09446322900188313
DNase,840,0.09345621406151924
DNase,850,0.0917037440050215
DNase,860,0.09214735354676722
DNase,870,0.09114053659761394
DNase,880,0.08912578104205918
DNase,890,0.08933166553672287
DNase,900,0.08912062109227863
DNase,910,0.08823576635279337
DNase,920,0.08844383640929046
DNase,930,0.08853715693659699
DNase,940,0.0872662361581916
DNase,950,0.08596266177024466
DNase,960,0.08510943452605076
DNase,970,0.08461635191462612
DNase,980,0.08400828675455102
DNase,990,0.08484384080351534
DNase,1000,0.08540859836785929
DNase,1010,0.08593889052102925
DNase,1020,0.08639489742623953
