state_type,length,normalized_length,subclass,vs_NBM_dmr_type,null_normalized_length,enrichment,log_enrichment
14_ReprPCWk,2577,0.052599350927683544,other,hypo,0.09113657731472811,0.5771486320584396,-0.23871232935663123
15_Quies,7339,0.1497969097626191,other,hypo,0.2961689323192335,0.5057819825651279,-0.2960366455568845
1_TssA,344,0.007021411222011308,other,hypo,0.07354661357514676,0.09546885819341135,-1.020138271561694
2_TssAFlnk,5571,0.11371012185414245,other,hypo,0.08389528015902648,1.3553816333719952,0.13206159626694167
3_TxFlnk,805,0.01643091870267181,other,hypo,0.000849213530625175,19.348394850204137,1.2866449416229238
4_Tx,2884,0.05886555222174596,other,hypo,0.10157419268894068,0.5795325629809824,-0.23692215672257352
5_TxWk,5085,0.1037903373951381,other,hypo,0.11102853089416523,0.9348078062392203,-0.02927766962976517
6_EnhG,2461,0.05023166574816811,other,hypo,0.008725179249273289,5.757092698393773,0.7602032223467065
7_Enh,17470,0.35658155246667894,other,hypo,0.060682922304168725,5.876143384778668,0.7690923845413661
9_Het,452,0.009225807768456717,other,hypo,0.01950509308341919,0.4729948085353848,-0.325143625936202
10_TssBiv,6645,0.005295968528637283,wt,hyper,0.0010244009844367257,5.16981983529556,0.713475408490395
11_BivFlnk,289959,0.23109311340784663,wt,hyper,0.04110005801828783,5.622695552035954,0.7499445687218591
12_EnhBiv,287685,0.2292807684215226,wt,hyper,0.023320547197533327,9.831706197947799,0.9926288919983615
13_ReprPC,206979,0.1649592581021544,wt,hyper,0.0442597018833494,3.727075671158383,0.5713682103639568
14_ReprPCWk,16293,0.01298528446005828,wt,hyper,0.09113657731472811,0.1424815901876073,-0.8462412465076905
15_Quies,13349,0.010638959200719202,wt,hyper,0.2961689323192335,0.03592192846632448,-1.4446403563086951
1_TssA,14762,0.011765099686944103,wt,hyper,0.07354661357514676,0.15996793210503202,-0.7959670692544705
2_TssAFlnk,219684,0.1750849586523932,wt,hyper,0.08389528015902648,2.0869464685082817,0.31951130928125315
3_TxFlnk,2444,0.0019478325182828468,wt,hyper,0.000849213530625175,2.2936899237214097,0.3605347067131272
4_Tx,1490,0.0011875083683475624,wt,hyper,0.10157419268894068,0.011691044121651754,-1.9321467004701354
5_TxWk,6473,0.00515888702571394,wt,hyper,0.11102853089416523,0.04646451668023511,-1.3328785759830428
6_EnhG,5768,0.004597012260824656,wt,hyper,0.008725179249273289,0.5268673719462597,-0.27829869575716815
7_Enh,52198,0.04160104819530608,wt,hyper,0.060682922304168725,0.6855478710597334,-0.16396221350584433
8_ZNF/Rpts,7160,0.005706416051925198,wt,hyper,0.0045553322285184356,1.2526893244361978,0.0978433763311309
9_Het,21491,0.017128014996078834,wt,hyper,0.01950509308341919,0.8781303899871643,-0.05644099269582377
12_EnhBiv,4301,0.0214986578959207,wt,hypo,0.023320547197533327,0.9218762198768075,-0.0353273876592583
13_ReprPC,6247,0.031225788392424233,wt,hypo,0.0442597018833494,0.7055128494702185,-0.1514950720539385
14_ReprPCWk,23266,0.11629569277063265,wt,hypo,0.09113657731472811,1.2760594724664813,0.10587091573476828
15_Quies,41242,0.20614918599013302,wt,hypo,0.2961689323192335,0.6960527033535363,-0.15735787546263244
1_TssA,1294,0.006468091912885698,wt,hypo,0.07354661357514676,0.08794547564418966,-1.0557864979154905
2_TssAFlnk,18601,0.09297757161637318,wt,hypo,0.08389528015902648,1.1082574781338224,0.04464067044851782
3_TxFlnk,2066,0.010326953548703131,wt,hypo,0.000849213530625175,12.160608817785349,1.0849553183237093
4_Tx,10887,0.054418946410808806,wt,hypo,0.10157419268894068,0.535755638023731,-0.27103324996469375
5_TxWk,20471,0.102324814179817,wt,hypo,0.11102853089416523,0.921608287128965,-0.035453628714484174
6_EnhG,7663,0.038303700408379535,wt,hypo,0.008725179249273289,4.39001873933648,0.6424663740856424
7_Enh,59768,0.2987518681988813,wt,hypo,0.060682922304168725,4.923162182292562,0.6922441428445719
9_Het,1201,0.006003229047431008,wt,hypo,0.01950509308341919,0.3077775133785036,-0.5117631134596258
