status,distance_bin,beta
Other,"(-750.0, -720.0]",0.12197957030603922
Other,"(-720.0, -690.0]",0.1248196248402561
Other,"(-690.0, -660.0]",0.13242151399651308
Other,"(-660.0, -630.0]",0.13121922477721526
Other,"(-630.0, -600.0]",0.13881226265892915
Other,"(-600.0, -570.0]",0.14825101120958206
Other,"(-570.0, -540.0]",0.12917869290039538
Other,"(-540.0, -510.0]",0.12253546629210567
Other,"(-510.0, -480.0]",0.12099755989164916
Other,"(-480.0, -450.0]",0.12164409312526338
Other,"(-450.0, -420.0]",0.11946968750797471
Other,"(-420.0, -390.0]",0.13402883588162887
Other,"(-390.0, -360.0]",0.13561691237150922
Other,"(-360.0, -330.0]",0.13961225509493708
Other,"(-330.0, -300.0]",0.12513728210989014
Other,"(-300.0, -270.0]",0.1278063208451688
Other,"(-270.0, -240.0]",0.13072331414699095
Other,"(-240.0, -210.0]",0.15186285213536177
Other,"(-210.0, -180.0]",0.14867152911036183
Other,"(-180.0, -150.0]",0.15147108648860527
Other,"(-150.0, -120.0]",0.1563833123546779
Other,"(-120.0, -90.0]",0.1590352046985931
Other,"(-90.0, -60.0]",0.1767337940887565
Other,"(-60.0, -30.0]",0.1835875636037221
Other,"(-30.0, 0.0]",0.26828398935826314
R882,"(-3000.0, -2970.0]",0.4677109440202146
R882,"(-2970.0, -2940.0]",0.44053422344276016
R882,"(-2940.0, -2910.0]",0.4195758797896997
R882,"(-2910.0, -2880.0]",0.4514417031199741
R882,"(-2880.0, -2850.0]",0.43554578763869267
R882,"(-2850.0, -2820.0]",0.41678728962982
R882,"(-2820.0, -2790.0]",0.4327378791635193
R882,"(-2790.0, -2760.0]",0.43427897265918347
R882,"(-2760.0, -2730.0]",0.4378024109384612
R882,"(-2730.0, -2700.0]",0.4146382120420954
R882,"(-2700.0, -2670.0]",0.37950538223871755
R882,"(-2670.0, -2640.0]",0.39155124643475614
R882,"(-2640.0, -2610.0]",0.4042859872582235
R882,"(-2610.0, -2580.0]",0.421913194944406
R882,"(-2580.0, -2550.0]",0.4241465775381288
R882,"(-2550.0, -2520.0]",0.3897371717331796
R882,"(-2520.0, -2490.0]",0.3502304566987941
R882,"(-2490.0, -2460.0]",0.34731312231812866
R882,"(-2460.0, -2430.0]",0.38597389939889776
R882,"(-2430.0, -2400.0]",0.397865675353027
R882,"(-2400.0, -2370.0]",0.40213385973294147
R882,"(-2370.0, -2340.0]",0.37906563550085604
R882,"(-2340.0, -2310.0]",0.3509612003758453
R882,"(-2310.0, -2280.0]",0.36019966693871935
R882,"(-2280.0, -2250.0]",0.382341163666383
R882,"(-2250.0, -2220.0]",0.348273742137767
R882,"(-2220.0, -2190.0]",0.36718332554341815
R882,"(-2190.0, -2160.0]",0.34753150312368414
R882,"(-2160.0, -2130.0]",0.33358950356009165
R882,"(-2130.0, -2100.0]",0.33636765911687944
R882,"(-2100.0, -2070.0]",0.3641616006388289
R882,"(-2070.0, -2040.0]",0.3365726936524222
R882,"(-2040.0, -2010.0]",0.337988485599258
R882,"(-2010.0, -1980.0]",0.3316925507787585
R882,"(-1980.0, -1950.0]",0.2964319642663047
R882,"(-1950.0, -1920.0]",0.30251708737698824
R882,"(-1920.0, -1890.0]",0.28835501397423613
R882,"(-1890.0, -1860.0]",0.27835965150515396
R882,"(-1860.0, -1830.0]",0.31545683099040317
R882,"(-1830.0, -1800.0]",0.2796647678369764
R882,"(-1800.0, -1770.0]",0.2877964256260367
R882,"(-1770.0, -1740.0]",0.2900876205161143
R882,"(-1740.0, -1710.0]",0.2932711225974676
R882,"(-1710.0, -1680.0]",0.2922731651911513
R882,"(-1680.0, -1650.0]",0.2742916924885022
R882,"(-1650.0, -1620.0]",0.26618389497148676
R882,"(-1620.0, -1590.0]",0.2696609534920305
R882,"(-1590.0, -1560.0]",0.23327715160645418
R882,"(-1560.0, -1530.0]",0.258231021300782
R882,"(-1530.0, -1500.0]",0.24084081258391243
R882,"(-1500.0, -1470.0]",0.25687341383627027
R882,"(-1470.0, -1440.0]",0.2618233047102651
R882,"(-1440.0, -1410.0]",0.2624526160345357
R882,"(-1410.0, -1380.0]",0.23965526872971285
R882,"(-1380.0, -1350.0]",0.252802926186756
R882,"(-1350.0, -1320.0]",0.2300088968899492
R882,"(-1320.0, -1290.0]",0.218105045850516
R882,"(-1290.0, -1260.0]",0.2152624732625911
R882,"(-1260.0, -1230.0]",0.19363448303150638
R882,"(-1230.0, -1200.0]",0.19720569376320035
R882,"(-1200.0, -1170.0]",0.192751020962257
R882,"(-1170.0, -1140.0]",0.1862462708850715
